"Fecha","Indicador","Territorio",Valor
"2020-04-12","Casos recuperados","Maldonado",5
"2020-04-12","Casos recuperados","Montevideo",169
"2020-04-12","Casos recuperados","Paysandú",0
"2020-04-12","Casos recuperados","Río Negro",0
"2020-04-12","Casos recuperados","Rivera",0
"2020-04-12","Casos recuperados","Rocha",1
"2020-04-12","Casos recuperados","Salto",5
"2020-04-12","Casos recuperados","San José",0
"2020-04-12","Casos recuperados","Soriano",1
"2020-04-12","Casos recuperados","Tacuarembó",0
"2020-04-12","Casos recuperados","Treinta y Tres",0
"2020-04-12","Fallecidos","Artigas",0
"2020-04-12","Fallecidos","Canelones",0
"2020-04-12","Fallecidos","Cerro Largo",0
"2020-04-12","Fallecidos","Colonia",0
"2020-04-12","Fallecidos","Durazno",0
"2020-04-12","Fallecidos","Flores",0
"2020-04-12","Fallecidos","Florida",0
"2020-04-12","Fallecidos","Lavalleja",0
"2020-04-12","Fallecidos","Maldonado",1
"2020-04-12","Fallecidos","Montevideo",6
"2020-04-12","Fallecidos","Paysandú",0
"2020-04-12","Fallecidos","Río Negro",0
"2020-04-12","Fallecidos","Rivera",0
"2020-04-12","Fallecidos","Rocha",0
"2020-04-12","Fallecidos","Salto",0
"2020-04-12","Fallecidos","San José",0
"2020-04-12","Fallecidos","Soriano",0
"2020-04-12","Fallecidos","Tacuarembó",0
"2020-04-12","Fallecidos","Treinta y Tres",0
"2020-04-12","Personal de la salud  Confirmados ","Todo el país",77
"2020-04-12","Personal de la salud  Recuperados ","Todo el país",0
"2020-04-12","Personal de la salud  Activos ","Todo el país",0
"2020-04-12","Personal de la salud  Fallecidos ","Todo el país",0
"2020-04-12","Cantidad de Tests  Positivos ","Todo el país",11
"2020-04-12","Cantidad de Tests  Negativos ","Todo el país",649
"2020-04-12","Personas en CTI","Todo el país",16
"2020-04-12","Personas en CI","Todo el país",0
"2020-04-12","Fallecidos ","Todo el país",7
"2020-04-12","Casos nuevos ","Todo el país",8
"2020-04-13","Casos activos","Artigas",0
"2020-04-13","Casos activos","Canelones",31
"2020-04-13","Casos activos","Cerro Largo",0
"2020-04-13","Casos activos","Colonia",5
"2020-04-13","Casos activos","Durazno",0
"2020-04-13","Casos activos","Flores",0
"2020-04-13","Casos activos","Florida",0
"2020-04-13","Casos activos","Lavalleja",4
"2020-04-13","Casos activos","Maldonado",13
"2020-04-13","Casos activos","Montevideo",156
"2020-04-13","Casos activos","Paysandú",1
"2020-04-13","Casos activos","Río Negro",6
"2020-04-13","Casos activos","Rivera",1
"2020-04-13","Casos activos","Rocha",0
"2020-04-13","Casos activos","Salto",7
"2020-04-13","Casos activos","San José",2
"2020-04-13","Casos activos","Soriano",1
"2020-04-13","Casos activos","Tacuarembó",0
"2020-04-13","Casos activos","Treinta y Tres",0
"2020-04-13","Casos recuperados","Artigas",0
"2020-04-13","Casos recuperados","Canelones",47
"2020-04-13","Casos recuperados","Cerro Largo",0
"2020-04-13","Casos recuperados","Colonia",3
"2020-04-13","Casos recuperados","Durazno",0
"2020-04-13","Casos recuperados","Flores",1
"2020-04-13","Casos recuperados","Florida",0
"2020-04-13","Casos recuperados","Lavalleja",0
"2020-04-13","Casos recuperados","Maldonado",5
"2020-04-13","Casos recuperados","Montevideo",185
"2020-04-13","Casos recuperados","Paysandú",0
"2020-04-13","Casos recuperados","Río Negro",0
"2020-04-13","Casos recuperados","Rivera",0
"2020-04-13","Casos recuperados","Rocha",1
"2020-04-13","Casos recuperados","Salto",5
"2020-04-13","Casos recuperados","San José",0
"2020-04-13","Casos recuperados","Soriano",1
"2020-04-13","Casos recuperados","Tacuarembó",0
"2020-04-13","Casos recuperados","Treinta y Tres",0
"2020-04-13","Fallecidos","Artigas",0
"2020-04-13","Fallecidos","Canelones",0
"2020-04-13","Fallecidos","Cerro Largo",0
"2020-04-13","Fallecidos","Colonia",0
"2020-04-13","Fallecidos","Durazno",0
"2020-04-13","Fallecidos","Flores",0
"2020-04-13","Fallecidos","Florida",0
"2020-04-13","Fallecidos","Lavalleja",0
"2020-04-13","Fallecidos","Maldonado",1
"2020-04-13","Fallecidos","Montevideo",7
"2020-04-13","Fallecidos","Paysandú",0
"2020-04-13","Fallecidos","Río Negro",0
"2020-04-13","Fallecidos","Rivera",0
"2020-04-13","Fallecidos","Rocha",0
"2020-04-13","Fallecidos","Salto",0
"2020-04-13","Fallecidos","San José",0
"2020-04-13","Fallecidos","Soriano",0
"2020-04-13","Fallecidos","Tacuarembó",0
"2020-04-13","Fallecidos","Treinta y Tres",0
"2020-04-13","Personal de la salud  Confirmados ","Todo el país",79
"2020-04-13","Personal de la salud  Recuperados ","Todo el país",0
"2020-04-13","Personal de la salud  Activos ","Todo el país",0
"2020-04-13","Personal de la salud  Fallecidos ","Todo el país",0
"2020-04-13","Cantidad de Tests  Positivos ","Todo el país",9
"2020-04-13","Cantidad de Tests  Negativos ","Todo el país",453
"2020-04-13","Personas en CTI","Todo el país",15
"2020-04-13","Personas en CI","Todo el país",0
"2020-04-13","Fallecidos ","Todo el país",8
"2020-04-13","Casos nuevos ","Todo el país",0
"2020-04-14","Casos activos","Artigas",0
"2020-04-14","Casos activos","Canelones",29
"2020-04-14","Casos activos","Cerro Largo",0
"2020-04-14","Casos activos","Colonia",5
"2020-04-14","Casos activos","Durazno",0
"2020-04-14","Casos activos","Flores",0
"2020-04-14","Casos activos","Florida",0
"2020-04-14","Casos activos","Lavalleja",4
"2020-04-14","Casos activos","Maldonado",13
"2020-04-14","Casos activos","Montevideo",154
"2020-04-14","Casos activos","Paysandú",1
"2020-04-14","Casos activos","Río Negro",8
"2020-04-14","Casos activos","Rivera",1
"2020-04-14","Casos activos","Rocha",0
"2020-04-14","Casos activos","Salto",7
"2020-04-14","Casos activos","San José",2
"2020-04-14","Casos activos","Soriano",0
"2020-04-14","Casos activos","Tacuarembó",0
"2020-04-14","Casos activos","Treinta y Tres",0
"2020-04-14","Casos recuperados","Artigas",0
"2020-04-14","Casos recuperados","Canelones",47
"2020-04-14","Casos recuperados","Cerro Largo",0
"2020-04-14","Casos recuperados","Colonia",3
"2020-04-14","Casos recuperados","Durazno",0
"2020-04-14","Casos recuperados","Flores",1
"2020-04-14","Casos recuperados","Florida",0
"2020-04-14","Casos recuperados","Lavalleja",0
"2020-04-14","Casos recuperados","Maldonado",5
"2020-04-14","Casos recuperados","Montevideo",197
"2020-04-14","Casos recuperados","Paysandú",0
"2020-04-14","Casos recuperados","Río Negro",0
"2020-04-14","Casos recuperados","Rivera",0
"2020-04-14","Casos recuperados","Rocha",1
"2020-04-14","Casos recuperados","Salto",5
"2020-04-14","Casos recuperados","San José",0
"2020-04-14","Casos recuperados","Soriano",1
"2020-04-14","Casos recuperados","Tacuarembó",0
"2020-04-14","Casos recuperados","Treinta y Tres",0
"2020-04-14","Fallecidos","Artigas",0
"2020-04-14","Fallecidos","Canelones",2
"2020-04-14","Fallecidos","Cerro Largo",0
"2020-04-14","Fallecidos","Colonia",0
"2020-04-14","Fallecidos","Durazno",0
"2020-04-14","Fallecidos","Flores",0
"2020-04-14","Fallecidos","Florida",0
"2020-04-14","Fallecidos","Lavalleja",0
"2020-04-14","Fallecidos","Maldonado",1
"2020-04-14","Fallecidos","Montevideo",5
"2020-04-14","Fallecidos","Paysandú",0
